"case_id","running_time","total_cost","holding_cost","penalty_cost","machine_cost","skill_cost","best_cluster","bestS","bestEBO","bestServerAssignment","GAP","GAPoolingPercentGAP"
"Case: 0001",219.70694565773,608738.385323317,58865.3783243878,19873.0069989295,400000,130000,"[[3, 4, 6, 7, 8, 10], [1, 2, 9], [5]]","[[3, 11, 7, 2, 6, 4], [18, 3, 2], [32]]","[[0.05799237191411139, 0.0004293528101896908, 0.03394010676118257, 0.007161668236272297, 0.002648967420938536, 0.038996358024794515], [0.195280197630468, 0.019126448465183517, 0.03844994047933667], [0.37940812078510394]]","[1, 2, 1]",3224.66776915989,0.532550737609255
"Case: 0002",1220.12248086929,81713.8301074006,17471.5025459329,6842.32756146762,50000,7400,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20], [17, 19]]","[[4, 3, 2, 9, 6, 1, 2, 3, 6, 4, 2, 10, 4, 2, 1, 3, 5, 1], [11, 5]]","[[0.058852923537637394, 0.009082673702658188, 0.035199413591414486, 0.002745931919130075, 0.03870349523527077, 0.0034191641099549737, 0.0030776165004327036, 0.014239475167797628, 0.022398614950338847, 0.023411671765689715, 0.0064426472566227275, 0.0017950113231046006, 0.016831666174517812, 0.0003819610388911749, 0.039862529860334554, 0.03727844540627705, 0.03489629181935203, 0.015476882072427789], [0.04975101814440689, 0.00032796100757299235]]","[4, 1]",4535.75628301688,5.8770011458667
"Case: 0003",241.049481153488,115573.597196374,19795.4535042233,7778.1436921511,80000,8000,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[[22, 14, 48, 19, 29, 16, 7, 5, 4, 3]]","[[0.008844606049262078, 0.000923630954127927, 0.08749692942078338, 0.2103308283746502, 0.09532566256227457, 0.23318866491287712, 0.07115569679285702, 0.008924571585507966, 0.05282121962967716, 0.03639149586095097]]","[8]",3066.58352305224,2.72568209121294
"Case: 0004",1676.12511181831,1220950.72555395,47289.1792936363,13661.5462603161,900000,260000,"[[1, 7, 8, 14, 16, 19], [2, 4, 11, 12], [10, 18], [5, 9, 15, 17], [6, 20], [3, 13]]","[[2, 3, 3, 2, 3, 5], [2, 3, 7, 36], [5, 4], [3, 2, 6, 8], [13, 10], [8, 7]]","[[0.017106150421234024, 0.016137451556848065, 0.001632028218729101, 0.04366566030133807, 0.028826269939340468, 0.02991676630964427], [0.027791393601082296, 0.03056413475109983, 0.008400694287763627, 0.001409670987365459], [0.0050505233650468915, 0.04908298306039392], [0.03337133185445387, 0.03132902179242655, 0.0055923376010283835, 0.016741016909313743], [0.01591637222155981, 0.08184436357196072], [0.04432437689160049, 0.07461858607951828]]","[1, 1, 1, 1, 2, 3]",-318810.036279668,-20.7051669442475
"Case: 0005",293.871350765228,97020.8361188668,15048.6669818984,5972.16913696837,60000,16000,"[[3, 8, 9], [1, 2, 6, 10], [4, 5], [7]]","[[9, 1, 0], [3, 2, 3, 2], [6, 6], [24]]","[[0.006132543741116263, 0.029173122335795325, 0.042391934081448666], [0.019744126211828958, 0.006423599868963203, 0.0730845274903817, 0.019361402767526237], [0.0519616187636201, 0.024991558385889723], [0.004543021175296415]]","[1, 2, 2, 1]",-1762.09898550186,-1.78380909986135
"Case: 0006",3339.43262410164,597520.011064505,44954.0668664785,14565.9441980269,500000,38000,"[[3, 5, 12, 13, 14, 16, 17, 19], [2, 4, 6, 8, 10, 11, 15, 18, 20], [1, 7, 9]]","[[6, 1, 8, 7, 5, 7, 7, 1], [7, 5, 2, 5, 19, 2, 4, 4, 5], [14, 2, 9]]","[[0.0012799879962691032, 0.022292937415827295, 0.10258327490901353, 0.002147886872043446, 0.04674851803767298, 0.03809707583216278, 0.035752108900559576, 0.010207389783859341], [0.05174604107824154, 0.06404240946493611, 0.03401327153463696, 0.017839453427000364, 0.012687101992109238, 0.05016649039530205, 0.01575492659107282, 0.009722148191474019, 0.024839140957583373], [0.019695227575867412, 0.014422024463303105, 0.01814469221874842]]","[1, 3, 1]",11897.7112790406,2.03163562647787
"Case: 0007",917.115716457367,978989.467098633,38165.6805889417,10823.786509691,900000,30000,"[[2, 7], [4, 8], [1, 3, 5, 6, 9, 10]]","[[10, 18], [82, 114], [4, 1, 3, 4, 4, 8]]","[[0.08793623497813689, 0.06818037953477646], [0.08483465550397506, 0.0014359176103214688], [0.01318537944039521, 0.017602483287763718, 0.032103681543764195, 0.037022165530128534, 0.06014794156365033, 0.02082427190513779]]","[1, 5, 3]",-17692.7481028958,-1.77516442382975
"Case: 0008",3130.08284711838,182688.789876766,30123.8686680247,8564.92120874115,110000,34000,"[[6, 7, 10], [4, 14, 15, 16, 17, 18], [3, 12], [2, 13, 20], [1, 9, 11, 19], [5, 8]]","[[4, 3, 6], [3, 3, 5, 2, 4, 5], [4, 14], [3, 4, 3], [1, 14, 23, 5], [17, 5]]","[[0.040155999675108606, 0.035392994614725885, 0.01709553877023531], [0.02065834302587725, 0.010884419671646767, 0.0010356544193707272, 0.05096139407222739, 0.007085676152974943, 0.003431378693853646], [0.005288710273602146, 0.046683259454205706], [0.03051177602628454, 0.012528195522051987, 0.059284526320968436], [0.0006342687898484396, 0.011854386801163273, 0.00861794930423399, 0.018814257071893527], [0.01490772397537101, 0.050507641699406115]]","[2, 1, 2, 2, 2, 2]",-1897.08775205034,-1.02775346436047
"Case: 0009",369.775881767273,68652.9294359596,12417.1977365637,3935.7316993959,50000,2300,"[[1, 4, 5, 6, 7, 8, 9], [2, 3, 10]]","[[3, 2, 2, 3, 1, 5, 2], [625, 1185, 444]]","[[0.006582297508178274, 0.03792499535859727, 0.0009514546098718654, 0.008493523506140256, 0.004654507413242695, 0.017204713302274223, 0.028648533085541734], [0.7647892858737585, 1.528707842303238, 3.12276501120082]]","[2, 3]",1126.91691040818,1.66886340279868
"Case: 0010",2148.04124617577,748164.058505166,35848.1952405199,12315.8632646456,500000,200000,"[[2, 6, 8, 9, 10, 12, 14, 15, 18], [1, 3], [13, 16, 19], [5, 11, 17, 20], [4, 7]]","[[1, 2, 2, 1, 1, 1, 2, 2, 1], [8, 7], [1, 5, 1], [3, 6, 2, 3], [4, 34]]","[[0.011586667638502255, 0.011376612600408684, 0.009325810741155521, 0.016038843689870994, 0.019240280389720324, 0.013962446462509387, 0.018004958544392904, 0.012638159089224868, 0.013432863237039459], [0.01935473487898358, 0.061705063926475553], [0.01121780652288263, 0.04400816561562634, 0.027971607821552485], [0.012608243896567877, 0.021076732072497772, 0.020132708221445344, 0.054458359818956685], [0.008832009776526196, 0.04156834153308975]]","[1, 1, 1, 1, 1]",-90239.5845919095,-10.7632624613323
"Case: 0011",101.561781644821,1042867.63660163,87666.3657137152,25201.2708879182,800000,130000,"[[8, 9], [2], [6], [5, 10], [3, 4], [1, 7]]","[[11, 16], [13], [12], [12, 8], [40, 16], [4, 26]]","[[0.07359711242704944, 0.14328499533679995], [0.09992893618112757], [0.03543281274746326], [0.09458009332406396, 0.02399779033233492], [0.02253716916790852, 0.14400210167587188], [0.034171162727317995, 0.048091606570457524]]","[1, 2, 1, 1, 2, 1]",-73446.6903200597,-6.57939153415629
"Case: 0012",15390.9702448845,144480.430560166,31381.894572206,10098.5359879597,90000,13000,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20], [13, 14]]","[[7, 4, 3, 12, 6, 1, 7, 3, 2, 2, 5, 4, 9, 1, 3, 2, 20, 4], [9, 3]]","[[0.007669812838636143, 0.011552091710575271, 0.017859538463894792, 0.1585880654223545, 0.017680742525000074, 0.023928819356925445, 0.038455715214968, 0.012005817178115056, 0.030366294758933217, 0.009071569895972683, 0.04065765787258028, 0.022103470483836783, 0.07682857711521744, 0.006293602949837337, 0.011518561998290513, 0.012072189285576143, 0.04332480549597489, 0.014928201425366563], [0.05737637518878916, 0.012920397388968628]]","[7, 2]",4517.95519545616,3.22797605835666
"Case: 0013",453.681314229965,611169.01251547,70262.918917855,24906.093597615,500000,16000,"[[2, 3, 6, 7, 8, 10], [4, 5, 9], [1]]","[[3, 6, 6, 4, 7, 7], [11, 47, 3], [11]]","[[0.012709358628644606, 0.06112804317518035, 0.005623689339989139, 0.019450837900999666, 0.03206011935841371, 0.05114088728861935], [0.0891805871604793, 0.455793725414848, 0.004431413061016518], [0.05007154909759332]]","[1, 3, 1]",13076.1079591183,2.18630046594815
"Case: 0014",999.550336837769,137017.804360303,26781.3388096235,8236.4655506798,80000,22000,"[[8, 17], [3, 11, 13, 15, 19, 20], [1, 12], [6, 14, 16], [9, 10, 18], [2, 7], [4, 5]]","[[6, 1], [1, 1, 2, 2, 1, 0], [3, 7], [2, 2, 3], [3, 3, 2], [3, 5], [14, 10]]","[[0.044130332311013445, 0.022492618489642638], [0.00551789864784797, 0.003056792808146347, 0.0014448356327085375, 0.005892939424227591, 0.014337304738384998, 0.010616482988163206], [0.008828009672772526, 0.01042671694413691], [0.024256009441883088, 0.02022005148223839, 0.025700001026018385], [0.02184428040656977, 0.02268576917142043, 0.0168900435086998], [0.006515551713184097, 0.01775493405742954], [0.13724741916593935, 0.08706533901326126]]","[1, 1, 1, 1, 1, 1, 2]",-8844.99421542953,-6.06391369272759
"Case: 0015",2361.20808625221,181559.058731602,30918.4923349505,7640.56639665138,120000,23000,"[[1, 3, 6], [4, 7], [5], [9, 10], [2, 8]]","[[2, 0, 2], [5, 4], [30], [41, 19], [6, 12]]","[[0.019409809413959284, 0.009554737461278644, 0.005222060489981202], [0.019234468713616008, 0.020982532672648668], [0.01948086855855551], [0.21858461786868855, 0.1468398546198492], [0.01797571271600482, 0.0531674530144693]]","[1, 2, 2, 3, 4]",4433.34852552804,2.50293902583094
"Case: 0016",7567.51535463333,1161227.82170097,118238.660587083,34989.161113884,900000,108000,"[[1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19], [4, 11, 15, 20]]","[[4, 17, 4, 28, 5, 3, 2, 3, 15, 5, 5, 7, 10, 10, 9, 2], [16, 16, 13, 44]]","[[0.031733928153737545, 0.03156409528807007, 0.003674689851601055, 0.22925397243727375, 0.03316676425900057, 0.0025283564633313735, 0.01812780146170516, 0.039395731211354416, 0.0738389063202355, 0.041421596908021024, 0.0060007551785284715, 0.02163043363247657, 0.051374914664655755, 0.04045669743251571, 0.10291115585670926, 0.02940681188460441], [0.09772031497826489, 0.1048849292571921, 0.07770954184637768, 0.17365634708708652]]","[6, 3]",12966.6184103978,1.12923944249265
"Case: 0017",218.604576587677,460493.198339137,30491.4036198198,10001.7947193176,400000,20000,"[[1, 2, 3, 5, 8, 9, 10], [4, 6, 7]]","[[2, 4, 7, 6, 4, 18, 11], [9, 37, 3]]","[[0.014459344435798292, 0.07490350165748394, 0.012025637007209156, 0.059118304636161724, 0.015663589176465723, 0.07431665511061404, 0.12070896566562289], [0.013337066301927639, 0.03920123527514308, 0.015943923111216035]]","[2, 2]",3014.32990767661,0.658900359269429
"Case: 0018",1361.39140915871,94475.860781469,11824.1088257637,5651.75195570532,50000,27000,"[[9, 14, 15], [4, 12, 16], [3, 5, 7, 10, 11, 17, 18], [1, 2, 6, 8, 13, 19, 20]]","[[2, 8, 3], [2, 3, 4], [3, 4, 2, 2, 2, 3, 4], [0, 3, 0, 1, 3, 2, 1]]","[[0.028504836373749887, 0.013808397124353207, 0.010212794793010573], [0.02572631113097103, 0.018276123615701394, 0.017217042766623357], [0.008155800388582015, 0.013584806168238886, 0.01664223734751319, 0.005691291306600776, 0.008004420097388908, 0.016767650059380638, 0.018055579773080595], [0.044658998696553376, 0.022186314482368734, 0.05744448731835467, 0.03804614395475138, 0.01130366824170952, 0.014934850392043748, 0.024227133667115933]]","[1, 1, 2, 1]",-6873.9077191119,-6.7823615394568
"Case: 0019",324.50448346138,142770.271565723,18094.2524952379,4676.01907048537,100000,20000,"[[5], [2, 3, 7], [6, 8, 9], [10], [1, 4]]","[[17], [1, 1, 1], [5, 11, 9], [5], [7, 9]]","[[0.01690753333317746], [0.002575972830080878, 0.01855785254949012, 0.013074316792964401], [0.013337477586991393, 0.013279668402544352, 0.029024427702425814], [0.020576348527152233], [0.008083559350529783, 0.03039738489669596]]","[3, 1, 3, 1, 2]",-9781.11009171233,-6.4116824019834
"Case: 0020",2154.46923971176,886799.444675626,103881.07932416,28918.3653514655,700000,54000,"[[1, 6, 8, 9, 10, 12, 15, 17, 19, 20], [3, 5, 7, 11, 13, 14, 16, 18], [2, 4]]","[[10, 11, 8, 14, 5, 5, 10, 14, 3, 10], [52, 8, 7, 2, 25, 9, 11, 32], [20, 16]]","[[0.0866584509691057, 0.030253305400882138, 0.02173796359955926, 0.10799381264741474, 0.026078089650482198, 0.07600407757561946, 0.05933739438244997, 0.05410842595960353, 0.025187437630254765, 0.08929377171411607], [0.051194910742032015, 0.03563532934985769, 0.01583557602432673, 0.038732458046062006, 0.06874720605149653, 0.11627860697373564, 0.03897659825207366, 0.06975118953849932], [0.040147723155856185, 0.12049458269219139]]","[2, 4, 1]",-111359.572104503,-11.1564961326231
"Case: 0021",503.055087327957,73042.6530484327,15566.1840011718,5876.46904726085,50000,1600,"[[1, 2, 7, 8], [3, 4, 9, 10], [5, 6]]","[[6, 2, 6, 2], [0, 14, 9, 5], [11, 14]]","[[0.05050645665963845, 0.037069884798380914, 0.02563354315988145, 0.04573032601566238], [0.05713171298820339, 0.021330722227690203, 0.03823220471913233, 0.09367993901833312], [0.0312777019087634, 0.02179123672293852]]","[1, 2, 2]",4477.89535382473,6.53089940719922
"Case: 0022",1718.04876804352,927250.306186707,21239.8588695247,6010.44731718222,700000,200000,"[[3, 9, 14], [6, 8, 13, 16], [12, 15, 18, 19, 20], [4, 7, 10], [2, 5, 11], [17], [1]]","[[2, 3, 1], [1, 1, 1, 4], [1, 1, 1, 4, 2], [8, 2, 1], [4, 5, 2], [5], [48]]","[[0.021165437877939744, 0.024461820180806938, 0.01640645726896199], [0.0167912682373076, 0.016965571339339725, 0.026551331266236315, 0.021209262627491537], [0.008187512800721995, 0.031040794283702593, 0.0037490790640273023, 0.017942182937727584, 0.01783731406103308], [0.03741120480309639, 0.0068354653349442405, 0.006186569600350892], [0.020807321774935314, 0.014187956933114945, 0.0073066080260171876], [0.012307303479902356], [0.030048411835422985]]","[1, 1, 1, 1, 1, 1, 1]",17777.7499998906,1.95473188046796
"Case: 0023",203.601547718048,1135294.80179175,65989.7657160892,19305.0360756564,900000,150000,"[[2, 5], [4, 8, 9], [3, 6], [1], [7], [10]]","[[4, 91], [10, 1, 7], [21, 12], [19], [69], [73]]","[[0.059297471992706685, 0.255437910906161], [0.07777096663717073, 0.08117042919048674, 0.09372737262459503], [0.12700595245123975, 0.3268987753739298], [0.06501306279586186], [0.34426906974358934], [0.2933925467204552]]","[3, 1, 1, 2, 1, 1]",-52416.998964241,-4.41327592526042
"Case: 0024",8849.13350915909,146360.619605837,25906.8906049629,8053.7290008744,100000,12400,"[[1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20], [6], [5, 19]]","[[9, 4, 18, 10, 12, 7, 4, 6, 8, 15, 4, 12, 8, 13, 2, 16, 4], [22], [18, 13]]","[[0.024265902588584586, 0.10744680475911218, 0.0557920177709696, 0.031846413943110996, 0.01942426287202622, 0.014700675597120155, 0.014722770940602474, 0.042778277334636815, 0.013069475330273536, 0.0648297342907224, 0.016084440709311948, 0.11071524160734786, 0.01622875748613279, 0.15662917048023528, 0.012902149946233309, 0.07355959485373917, 0.04866172846523621], [0.024553768822426623], [0.009367940727791456, 0.04461648190415194]]","[7, 1, 2]",6679.79621595427,4.78218559559127
"Case: 0025",104.285391569138,83746.5247208499,10093.9488972855,3652.57582356445,60000,10000,"[[10], [3, 4, 8], [5], [6, 7], [2, 9], [1]]","[[6], [0, 4, 3], [7], [8, 3], [4, 3], [5]]","[[0.011405310907555333], [0.07435464922812604, 0.025125365432476815, 0.018206099780936177], [0.028875408392363713], [0.022368622411786835, 0.014322284629885286], [0.021197362574367044, 0.018826945265292758], [0.02283417178649804]]","[1, 1, 1, 1, 1, 1]",3403.56025811365,4.23628911488852
"Case: 0026",1210.97230696678,495926.790471232,28995.5785296681,10931.2119415639,400000,56000,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20], [10, 13]]","[[5, 2, 7, 5, 4, 7, 3, 8, 4, 4, 3, 3, 4, 2, 2, 3, 1, 2], [17, 5]]","[[0.06669142102895007, 0.009723595429247197, 0.012167530902946259, 0.03238133773426329, 0.01154224610675188, 0.013493347868794768, 0.009224888523146789, 0.031041871708901013, 0.01603367872179276, 0.01695550864463468, 0.012468044781932013, 0.01827255943287873, 0.017573882416847434, 0.06147604334862883, 0.046697493380005464, 0.01653912923962797, 0.016241681613587966, 0.07433667331699657], [0.05038261783019836, 0.01639999025236183]]","[3, 1]",-65555.3850430925,-11.675416941427
"Case: 0027",614.597165822983,850871.068031434,100677.052369942,24194.0156614912,700000,26000,"[[1, 3, 9, 10], [2, 4, 7, 8], [5, 6]]","[[4, 10, 8, 10], [9, 62, 60, 107], [17, 12]]","[[0.036027261617914294, 0.04123421654256713, 0.08502286409059902, 0.04715147745965313], [0.023557575554000107, 0.051836912755041806, 0.17850916812383558, 0.19812338968997026], [0.04772712109611522, 0.05530865552029251]]","[1, 5, 1]",-120407.712096132,-12.3968230913392
"Case: 0028",1154.67943763733,167556.581541024,35148.3343306515,8408.24721037217,100000,24000,"[[4, 20], [2, 6], [7, 19], [8, 15, 17], [3, 5, 10, 16, 18], [12, 13], [11, 14], [1, 9]]","[[9, 3], [10, 4], [3, 6], [4, 1, 7], [2, 1, 1, 1, 3], [19, 7], [5, 5], [6, 19]]","[[0.017615609396038116, 0.010324689840008672], [0.016604302944694636, 0.025894719627793043], [0.020644722567815455, 0.010395505080893569], [0.008993830208268855, 0.011844624956456648, 0.028826799324310964], [0.013481076313467346, 0.008124450575015534, 0.0017063595094940287, 0.004404061159764205, 0.007769935484414774], [0.06037228259139333, 0.019542319269391054], [0.021321439773177374, 0.018784287575963596], [0.014078668982144556, 0.023782334459499475]]","[2, 1, 1, 1, 1, 1, 1, 2]",-22765.1129091901,-11.9613862071542
"Case: 0029",206.311159610748,684365.878165435,51409.507956293,12956.3702091419,500000,120000,"[[1, 4, 6], [8], [2, 5, 7, 10], [3, 9]]","[[5, 35, 2], [15], [4, 2, 4, 4], [103, 9]]","[[0.02650636258304595, 0.15801123177436677, 0.019683702485146955], [0.036417629954813555], [0.03974629932898596, 0.017775287885151547, 0.022628494312657642, 0.018882919660790413], [0.19768202679619448, 0.022590271142621257]]","[1, 1, 1, 2]",3109.0784936219,0.456373939330904
"Case: 0030",907.075496196747,93520.6882933463,14651.5305168442,6869.15777650208,60000,12000,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]","[[1380, 2, 2, 3, 2, 5, 6, 2, 1, 2, 1, 11, 7, 1, 2, 2, 1, 4, 5, 4]]","[[1.7975139584558637, 0.009855772221787936, 0.014582837035028603, 0.014776635066425082, 0.009205500987364912, 0.009643848489697685, 0.03487506565132361, 0.057434716052479615, 0.011808865741696532, 0.006233254315713618, 0.01787764146197988, 0.01852031756550449, 0.07499179052948174, 0.004820781727678939, 0.02804616515955588, 0.016149313882734155, 0.013846158893750345, 0.011457954550656674, 0.004835013334234109, 0.025051932882703618]]","[6]",4691.62128968802,5.28162846683373
"Case: 0031",1380.1322312355,147041.643924839,27777.3854634039,7064.25846143534,110000,2200,"[[6, 9], [4, 7, 8, 10], [1], [3, 5], [2]]","[[18, 6], [2, 3, 3, 2], [28], [3, 4], [20]]","[[0.014106942405012443, 0.010682933286084488], [0.009319341753363528, 0.010553066151481121, 0.015650138397192048, 0.040864186302279185], [0.033663454530228364], [0.02843323571732042, 0.01728964705690515], [0.0333047688710656]]","[4, 2, 2, 1, 2]",8131.29853979539,5.85363064014875
"Case: 0032",701.003642559052,1418021.81296101,70582.7169417127,17439.0960192971,1100000,230000,"[[1, 2, 9, 16], [5, 6, 14], [11, 12, 19], [8, 15], [3, 10], [7, 18], [4, 17], [13], [20]]","[[1, 0, 1, 0], [3, 4, 3], [2, 7, 7], [16, 16], [12, 2], [2, 8], [21, 14], [11], [124]]","[[0.007295604964869987, 0.022041411278872425, 0.007265333360630405, 0.020447258043141212], [0.013162886076868885, 0.030761106305694612, 0.011673459541269984], [0.0068571479645557825, 0.018511036380188233, 0.03971609555153689], [0.044909144007236425, 0.04960502344233043], [0.049331485060726356, 0.008757216019141978], [0.014249144091679449, 0.023837337473645415], [0.035252821728637085, 0.035579296100069886], [0.03395749344602156], [0.14178329003317514]]","[1, 1, 1, 1, 1, 1, 2, 1, 2]",-93593.8913673966,-6.19164587265116
"Case: 0033",5254.32649493218,141495.953631696,25496.4789708515,7999.47466084426,100000,8000,"[[1, 2, 8, 14, 15, 19], [4, 10, 12, 16, 18], [3, 5, 6, 7, 9, 11, 13, 17, 20]]","[[3, 1, 1, 1, 3, 6], [2, 1, 1, 1, 1], [12, 1, 4, 13, 10, 8, 12, 7, 10]]","[[0.012740736446190896, 0.007229294351282042, 0.016392012354006637, 0.019747131710579784, 0.011902652927498718, 0.013515180842997717], [0.010926992902483782, 0.01506646696223197, 0.03295705119443903, 0.007112346981273185, 0.021430810301630698], [0.015610744559602414, 0.024375771206458584, 0.013738596503023823, 0.01410752941542644, 0.01602017524757275, 0.017749575129064787, 0.015856168889074856, 0.006695350219470724, 0.01919896060834039]]","[2, 1, 7]",3902.75059326427,2.83644141358798
"Case: 0034",202.007381677628,1201087.60790145,72603.2208553264,18484.3870461222,900000,210000,"[[3, 4, 8], [2, 7, 10], [5, 9], [1, 6]]","[[8, 10, 6], [18, 8, 10], [15, 72], [17, 47]]","[[0.03156536129417501, 0.1682679878699265, 0.051092969973595435], [0.036991043622339466, 0.11148866676736388, 0.03637064217632096], [0.03089700500638361, 0.14952668587205814], [0.056300054581070395, 0.1661609421743587]]","[1, 2, 4, 2]",-58824.11234732,-4.66890746406464
"Case: 0035",978.23907995224,849619.854645577,38997.9239029958,10621.9307425809,600000,200000,"[[1, 12, 13, 17, 20], [2, 5, 6, 11, 14, 15, 16, 19], [3, 9, 18], [7, 8], [4], [10]]","[[1, 3, 3, 2, 3], [1, 2, 1, 0, 1, 1, 1, 1], [7, 0, 5], [6, 11], [92], [11]]","[[0.00890167411222209, 0.015373882051855659, 0.013535555521619997, 0.005119795490672299, 0.009052300194592711], [0.012769324649376801, 0.014761114325672405, 0.013276394325573537, 0.010687968881385014, 0.019740194549900537, 0.0028732632685973705, 0.00275301340006289, 0.02566209391664957], [0.02450627754144291, 0.014889963022794078, 0.014264410873423984], [0.020683155320084162, 0.023738552439307187], [0.12108753680115654], [0.023557543835632782]]","[1, 1, 1, 1, 1, 1]",-31930.9361756755,-3.62213232727392
"Case: 0036",100.241583824158,74453.2817851328,15077.6538633822,4375.62792175059,50000,5000,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[[2, 5, 5, 4, 1, 5, 3, 1, 7, 8]]","[[0.0171229753330078, 0.04770401602342546, 0.012187957809664899, 0.021926612411830974, 0.0022027044627566396, 0.03893544081366718, 0.01690828854557767, 0.02482582333316832, 0.01075742339576182, 0.02895687709924485]]","[5]",3484.31076941284,4.9096256005192
"Case: 0037",1699.18317818642,856721.577047811,67860.3384521697,18861.2385956415,700000,70000,"[[1, 2, 4, 8, 10, 12, 14, 15, 16, 18], [3, 5, 6, 7, 9, 11, 13, 17, 19, 20]]","[[7, 1, 8, 2, 6, 9, 3, 6, 3, 6], [16, 2, 5, 17, 13, 11, 16, 8, 56, 14]]","[[0.02362890058544963, 0.0283327408482856, 0.03213994938279514, 0.011437097299087826, 0.07137615953131471, 0.11430561050732962, 0.011804694669544565, 0.03535838387293286, 0.03828493048146957, 0.0593519159388849], [0.02339981851805062, 0.006599075580062872, 0.01874289105511595, 0.02293050033730175, 0.02605703838804063, 0.020910270433221315, 0.02409938114711993, 0.011305402647826429, 0.13412308645540258, 0.022329521746265096]]","[1, 6]",-228973.963379097,-21.0900712817759
"Case: 0038",477.171031951904,144903.175979547,25776.6054899865,7126.57048956056,90000,22000,"[[1], [3, 5, 10], [2, 4, 7, 9], [6, 8]]","[[42], [4, 4, 13], [3, 4, 2, 3], [3, 3]]","[[0.0373090974004402], [0.009035934859895803, 0.019688312047857363, 0.0190168019445026], [0.009092932678435637, 0.014452327454103655, 0.01679066945426912, 0.011535252594948036], [0.014742857870716405, 0.052314191537550604]]","[3, 3, 2, 1]",-7235.04821798703,-4.75557556698779
"Case: 0039",1329.96771860123,107968.126550252,17241.4123033957,7726.71424685639,60000,23000,"[[2, 3, 11], [1, 7, 9, 12, 16, 19], [5, 6, 8, 17, 18, 20], [4, 13, 15], [10, 14]]","[[2, 2, 7], [1, 0, 1, 1, 1, 1], [4, 2, 0, 1, 1, 1], [7, 1, 1], [4, 9]]","[[0.011915740870729278, 0.002840677081518634, 0.008340385089360693], [0.0032307173924216157, 0.03525462319729642, 0.016611632082361872, 0.013839408086133782, 0.009634363115759803, 0.016750490699423942], [0.012643177078110366, 0.021239717553115645, 0.02836272609858822, 0.018018714495506055, 0.0069886852209036735, 0.008427475482491507], [0.013499154246605843, 0.0037182392636001984, 0.01200141774726092], [0.01545136313795691, 0.013021445022671583]]","[2, 1, 1, 1, 1]",-11155.8300861929,-9.36489216878466
"Case: 0040",269.847461938858,478073.04903586,48633.6857778656,13439.3632579948,400000,16000,"[[2, 5, 8], [1, 3, 4, 6, 7, 9, 10]]","[[21, 3, 33], [3, 4, 3, 5, 5, 4, 10]]","[[0.024483803555714775, 0.016661039645407376, 0.09719355993915264], [0.01566556827526501, 0.040026801112821545, 0.04022358939660754, 0.013094507005544664, 0.022387524786298706, 0.025399278908982192, 0.06179343122775085]]","[3, 1]",-16305.0558822772,-3.29809425621248
"Case: 0041",1770.8664124012,1396469.71566059,35782.9666375916,10686.749022999,1100000,250000,"[[8, 13], [2, 7, 10, 12], [6, 9], [4, 5, 11, 18, 19, 20], [1, 16], [3, 15], [14], [17]]","[[12, 2], [1, 5, 0, 3], [10, 9], [1, 1, 1, 1, 1, 3], [16, 5], [4, 50], [11], [21]]","[[0.04087310318669507, 0.02231606824816967], [0.015410544019466902, 0.025394075924542556, 0.007554825224955039, 0.02360419263714261], [0.033067432476669, 0.02153050522919836], [0.05695568652812937, 0.03476513677058511, 0.01256569982370035, 0.015053614623231138, 0.015577822668468773, 0.036248621807630756], [0.017726962944728586, 0.032246791706442596], [0.03457223204466292, 0.16316650311884137], [0.04099830063329494], [0.0208359975395098]]","[1, 1, 2, 1, 2, 1, 1, 2]",-153617.547472722,-9.91025157914032
"Case: 0042",726.71212220192,130777.085601193,20662.0299448703,6315.05565632235,100000,3800,"[[5], [1, 2, 3, 6, 7, 8, 9, 10], [4]]","[[32], [13, 58, 32, 48, 16, 31, 8, 52], [40]]","[[0.02288602244443157], [0.0691457175030835, 0.0864110911251516, 0.18777009049012847, 0.5302439031017738, 0.1486906416432616, 0.20009755768154208, 0.059543280846874685, 0.13204413528813178], [0.015303555940353798]]","[3, 4, 3]",4626.08093981989,3.66709797693461
